機関コード,コード連番,既存の識別コード,機関名,無効化フラグ,有効開始日時,有効終了日時,バージョン情報
"0030099000001700","1","30099000001700","情報提供ネットワークシステム等","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099000011700","1","30099000011700","情報提供等記録開示システム","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099300101700","1","30099300101700","業務疎通確認ツール（ＩＦＳ東）","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099300201700","1","30099300201700","業務疎通確認ツール（ＩＦＳ西）","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099310101700","1","30099310101700","ダミー中間ＳＶテスト用電文送受信ツール（ＩＦＳ東）","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099310201700","1","30099310201700","ダミー中間ＳＶテスト用電文送受信ツール（ＩＦＳ西）","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0030099320101700","1","30099320101700","試験用ツール０１","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320101700","2","30099320101700","試験用ツール０１","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320101700","3","30099320101700","試験用ツール０１","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320201700","1","30099320201700","試験用ツール０２","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320201700","2","30099320201700","試験用ツール０２","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320201700","3","30099320201700","試験用ツール０２","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320301700","1","30099320301700","試験用ツール０３","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320301700","2","30099320301700","試験用ツール０３","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320301700","3","30099320301700","試験用ツール０３","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320401700","1","30099320401700","試験用ツール０４","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320401700","2","30099320401700","試験用ツール０４","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320401700","3","30099320401700","試験用ツール０４","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320501700","1","30099320501700","試験用ツール０５","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320501700","2","30099320501700","試験用ツール０５","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320501700","3","30099320501700","試験用ツール０５","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320601700","1","30099320601700","試験用ツール０６","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320601700","2","30099320601700","試験用ツール０６","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320601700","3","30099320601700","試験用ツール０６","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320701700","1","30099320701700","試験用ツール０７","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320701700","2","30099320701700","試験用ツール０７","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320701700","3","30099320701700","試験用ツール０７","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320801700","1","30099320801700","試験用ツール０８","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320801700","2","30099320801700","試験用ツール０８","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320801700","3","30099320801700","試験用ツール０８","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099320901700","1","30099320901700","試験用ツール０９","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099320901700","2","30099320901700","試験用ツール０９","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099320901700","3","30099320901700","試験用ツール０９","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321001700","1","30099321001700","試験用ツール１０","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321001700","2","30099321001700","試験用ツール１０","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321001700","3","30099321001700","試験用ツール１０","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321101700","1","30099321101700","試験用ツール１１","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321101700","2","30099321101700","試験用ツール１１","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321101700","3","30099321101700","試験用ツール１１","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321201700","1","30099321201700","試験用ツール１２","0","2009/01/01 00:00","2017/10/17 23:59","0004"
"0030099321201700","2","30099321201700","試験用ツール１２","0","2017/10/30 00:00","2018/03/16 23:59","0006"
"0030099321201700","3","30099321201700","試験用ツール１２","0","2019/02/24 00:00","9999/12/31 23:59","0009"
"0030099321301700","1","30099321301700","試験用ツール１３","0","2009/01/01 00:00","2017/10/17 23:59","0004"
